i (mA/cm2),eta_a,eta_c,eta_ohmic,Eload
-1379.8761816445565,-0.25,0.5279103241875751,-0.3449690454111391,2.2604562229455434
-1308.596855276972,-0.245,0.5230056188308796,-0.327149213819243,2.232731685996952
-1240.9536635068982,-0.24,0.5180975063802014,-0.31023841587672457,2.205912775603755
-1176.7546727976844,-0.235,0.5131852927977445,-0.2941886681994211,2.1799508143439947
-1115.8178857533662,-0.22999999999999998,0.5082682021316569,-0.27895447143834157,2.154799526916828
-1057.970713137556,-0.22499999999999998,0.5033453672719765,-0.26449267828438905,2.1304148989031946
-1003.0494733064618,-0.21999999999999997,0.4984158196008948,-0.25076236832661547,2.1067550412743397
-950.8989175953993,-0.21499999999999997,0.4934784773885819,-0.23772472939884984,2.083780060134261
-901.3717802738992,-0.20999999999999996,0.488532132762242,-0.2253429450684748,2.061451931177546
-854.3283517563607,-0.20499999999999996,0.48357543704809375,-0.21358208793909017,2.039734378334013
-809.6360738230693,-0.19999999999999996,0.4786068842524948,-0.20240901845576734,2.0185927560550914
-767.1691556707632,-0.19499999999999995,0.47362479240830274,-0.1917922889176908,1.9979939346728228
-726.8082096727194,-0.18999999999999995,0.46862728246418156,-0.18170205241817985,1.9779061882291906
-688.4399057859523,-0.18500000000000005,0.4636122543359224,-0.1721099764464881,1.9582990841292398
-651.9566435975256,-0.17999999999999994,0.45857735966747076,-0.1629891608993814,1.9391433739136814
-617.2562410536011,-0.17500000000000004,0.4535199707619482,-0.15431406026340028,1.9204108843721779
-584.2416389634471,-0.17000000000000004,0.4484371450353564,-0.14606040974086176,1.9020744081230476
-552.8206204168262,-0.16500000000000004,0.4433255842124522,-0.13820515510420653,1.884107592663488
-522.9055442966636,-0.16000000000000003,0.4381815873183191,-0.1307263860741659,1.8664848267393142
-494.4130921100955,-0.15500000000000003,0.4330009963111416,-0.12360327302752387,1.8491811226854948
-467.26402739989356,-0.15000000000000002,0.4277791329391561,-0.11681600684997338,1.8321719931359588
-441.38296703499236,-0.14500000000000002,0.4225107250710864,-0.11034574175874809,1.815433320176664
-416.69816371355813,-0.14,0.4171898203221898,-0.10417454092838953,1.7989412145974086
-393.14129904476675,-0.135,0.41180968424667924,-0.09828532476119169,1.7826718623547002
-370.64728660635683,-0.13,0.40636267964981315,-0.0926618216515892,1.7666013546482318
-349.1540844041587,-0.125,0.4008401226307599,-0.08728852110103967,1.7507054970786289
-328.6025161872613,-0.12,0.39523210971827,-0.08215062904681533,1.7349595921119145
-308.93610109832457,-0.11499999999999999,0.3895273087880959,-0.07723402527458115,1.7193381874095062
-290.1008911629012,-0.10999999999999999,0.38371270418516595,-0.07252522279072529,1.7038147803227206
-272.0453161445041,-0.10499999999999998,0.3777732833677467,-0.06801132903612603,1.688361465750702
-254.72003531368625,-0.09999999999999998,0.3716916480786003,-0.06368000882842156,1.672948510253851
-238.07779569956517,-0.09499999999999997,0.36544752697599775,-0.05951944892489129,1.6575438292477183
-222.07329641117113,-0.08999999999999997,0.35901715797500017,-0.05551832410279278,1.6421123354246223
-206.66305863370278,-0.08499999999999996,0.3523724959244678,-0.05166576465842569,1.6266151139297227
-191.80530092136428,-0.07999999999999996,0.34548018254539165,-0.04795132523034107,1.611008361122562
-177.45981942390316,-0.07499999999999996,0.33830018728759365,-0.04436495485597579,1.5952419954903987
-163.58787269838638,-0.07000000000000006,0.3307839840491424,-0.04089696817459659,1.5792578055705684
-150.15207077112538,-0.06499999999999995,0.32287205937603053,-0.037538017692781346,1.562986930415641
-137.1162681270932,-0.06000000000000005,0.31449043463667,-0.0342790670317733,1.5463463550152725
-124.44546031560752,-0.05499999999999994,0.30554569403435256,-0.03111136507890188,1.5292339124600836
-112.1056838716516,-0.050000000000000044,0.29591767703312516,-0.028026420967912902,1.5115209513478673
-100.06391926184475,-0.04499999999999993,0.28544838582301485,-0.025015979815461185,1.4930412189853053
-88.28799657294448,-0.040000000000000036,0.2739244932912455,-0.02207199914323612,1.473573345781311
-76.7465036687272,-0.03500000000000003,0.2610484697759929,-0.0191866259171818,1.452811949040004
-65.40869654833712,-0.030000000000000027,0.24638819001095041,-0.01635217413708428,1.430317217494864
-54.24441164559561,-0.025000000000000022,0.22928265380007556,-0.013561102911398903,1.4054206100583038
-43.223979814439645,-0.020000000000000018,0.20864926834006498,-0.01080599495360991,1.3770321166405042
-32.31814175057794,-0.015000000000000013,0.1825417701483168,-0.008079535437644484,1.3431981589327906
-21.497964603647183,-0.010000000000000009,0.14697335042345333,-0.0053744911509117956,1.2999246949211944
-10.734759537620679,-0.0050000000000000044,0.0923152784208976,-0.0026836898844051697,1.237575821652132
-5.3583908533298397e-14,0.0,5.551115123125783e-16,-1.33959771333246e-17,1.1375768533468298
10.734759537620528,0.0050000000000000044,-0.09231527842089654,0.002683689884405132,1.0375778850415276
21.49796460364628,0.010000000000000009,-0.14697335042344983,0.005374491150911571,0.9752290117724678
32.31814175057582,0.015000000000000013,-0.18254177014831088,0.008079535437643955,0.9319555477608744
43.22397981443542,0.020000000000000018,-0.20864926834005618,0.010805994953608854,0.8981215900531643
54.24441164558947,0.025000000000000022,-0.22928265380006527,0.013561102911397368,0.8697330966353667
65.40869654832821,0.030000000000000027,-0.246388190010938,0.01635217413708205,0.8448364891988092
76.74650366871498,0.03500000000000003,-0.2610484697759782,0.019186625917178745,0.8223417576536723
88.2879965729286,0.040000000000000036,-0.2739244932912287,0.02207199914323215,0.8015803609123684
100.06391926182437,0.04499999999999993,-0.28544838582299636,0.02501597981545609,0.7821124877083769
112.10568387162624,0.050000000000000044,-0.2959176770331042,0.02802642096790656,0.7636327553458185
124.44546031557678,0.05499999999999994,-0.3055456940343297,0.031111365078894195,0.7459197942336054
137.1162681270563,0.06000000000000005,-0.314490434636645,0.034279067031764074,0.7288073516784201
150.15207077108158,0.06499999999999995,-0.32287205937600344,0.037538017692770397,0.7121667762780555
163.5878726983351,0.07000000000000006,-0.3307839840491137,0.04089696817458378,0.6958959011231317
177.45981942384424,0.07499999999999996,-0.33830018728756284,0.04436495485596106,0.6799117112033054
191.8053009212963,0.08000000000000007,-0.34548018254535906,0.04795132523032407,0.6641453455711461
206.66305863362533,0.08499999999999996,-0.35237249592443315,0.05166576465840633,0.6485385927639898
222.07329641108396,0.09000000000000008,-0.35901715797496386,0.05551832410277099,0.6330413712690943
238.07779569946658,0.09499999999999997,-0.36544752697595956,0.059519448924866644,0.617609877446003
254.7200353135756,0.10000000000000009,-0.3716916480785606,0.0636800088283939,0.6022051964398747
272.04531614438037,0.10499999999999998,-0.3777732833677047,0.0680113290360951,0.5867922409430295
290.1008911627636,0.10999999999999999,-0.3837127041851224,0.0725252227906909,0.571338926371016
308.93610109817257,0.11499999999999999,-0.38952730878805036,0.07723402527454314,0.5558155192842358
328.6025161870929,0.12,-0.3952321097182226,0.08215062904677321,0.5401941145818335
349.1540844039738,0.125,-0.40084012263071117,0.08728852110099344,0.5244482096151247
370.6472866061535,0.13,-0.40636267964976247,0.09266182165153837,0.5085523520455284
393.1412990445446,0.135,-0.41180968424662695,0.09828532476113615,0.49248184433906617
416.69816371331456,0.14,-0.41718982032213575,0.10417454092832863,0.4762124920963649
441.3829670347266,0.14500000000000002,-0.42251072507103066,0.11034574175868166,0.45972038651711694
467.2640273996044,0.15000000000000002,-0.4277791329390985,0.11681600684990111,0.4429817135578296
494.41309210978255,0.15500000000000003,-0.4330009963110832,0.12360327302744564,0.4259725840083004
522.9055442963236,0.16000000000000003,-0.43818158731825885,0.1307263860740809,0.4086688799544895
552.8206204164582,0.16500000000000004,-0.44332558421239043,0.13820515510411455,0.3910461140303243
584.2416389630487,0.16999999999999993,-0.4484371450352932,0.14606040974076218,0.37307929857077393
617.2562410531721,0.17500000000000004,-0.4535199707618838,0.154314060263293,0.35474282232165244
651.9566435970623,0.17999999999999994,-0.4585773596674051,0.1629891608992656,0.3360103327801586
688.4399057854532,0.18500000000000005,-0.46361225433585546,0.1721099764463633,0.31685462256461044
726.8082096721828,0.18999999999999995,-0.46862728246411345,0.18170205241804568,0.29724751846467024
767.1691556701858,0.19500000000000006,-0.4736247924082335,0.19179228891754643,0.27715977202104924
809.6360738224485,0.19999999999999996,-0.47860688425242404,0.2024090184556121,0.2565609506387932
854.3283517556943,0.20500000000000007,-0.4835754370480218,0.21358208793892355,0.23541932835988388
901.3717802731852,0.20999999999999996,-0.48853213276216845,0.2253429450682963,0.21370177551636454
950.8989175946335,0.21500000000000008,-0.49347847738850736,0.2377247293986584,0.19137364655966344
1003.0494733056416,0.21999999999999997,-0.4984158196008194,0.2507623683264104,0.16839866541959952
1057.970713136679,0.2250000000000001,-0.5033453672718998,0.2644926782841697,0.14473880779075965
1115.8178857524274,0.22999999999999998,-0.5082682021315794,0.27895447143810687,0.12035417977714297
1176.7546727966796,0.235,-0.5131852927976657,0.2941886681991699,0.0952028923499938
1240.9536635058246,0.24,-0.5180975063801211,0.3102384158764561,0.06924093109025209
1308.5968552758266,0.245,-0.5230056188307985,0.3271492138189566,0.04242202069707407
